,aback,about,above,across,after,against,ahead,along,among,apart,around,as,aside,at,away,back,before,behind,below,between,beyond,by,down,even,for,forth,forward,from,in,into,it,of,off,on,one,onto,open,out,over,past,round,through,to,together,toward,towards,under,up,upon,way,with,without
listen,0,14865,448,142,7199,127,111,2159,50,37,1994,29118,50,43090,718,12010,9931,127,1485,547,519,3343,240,8035,183899,2,79,14290,102413,3072,21402,9237,586,66501,1825,36,83,9400,4334,2033,26,37754,13678022,1030,45,159,505,86279,47,570,34139,14485
live,0,145638,24058,52898,50595,4174,547,13963,36106,11968,112677,342413,565,571301,20408,18091,41212,9264,27008,16152,19223,545241,75633,22072,779110,39,232,107062,21889366,13488,338010,34476,485896,2275469,72429,534,1422,307931,40511,34970,12728,197411,557442,355140,326,1367,271925,795535,1966,17823,3268995,581934
liven,0,2,0,1,2,0,0,0,3,0,1,31,0,15,0,68,3,0,0,1,0,5,0,9,22,0,0,2,688,1,7359,5,15,84,9,1,1,9,0,1,0,7,31,3,0,0,8,23035,1,0,30,6
load,0,5077,783,5379,18164,1026,283,786,560,42,3009,34054,112,53810,962,17466,16275,750,922,5569,492,12481,9176,6001,140726,3,143,46253,233947,108705,260515,1840446,62686,258547,14620,11447,229,123847,13127,3031,178,4647,87912,591,68,309,2882,487930,801,2276,50274,10080
lock,0,702,487,265,8386,1830,85,419,72,576,4549,21861,166,29655,13247,11584,7483,3836,207,1205,124,9443,253650,3013,125121,0,408,18286,259119,23719,269288,33422,21833,402729,8118,41440,5587,93180,3453,156,99,6744,113757,3633,29,182,1228,339442,390,354,55501,5324
log,0,3670,507,515,4947,534,118,376,38,89,1063,17221,44,11805,311,126645,4377,484,668,1202,30,3361,1516,1203,54234,0,34,18161,1348439,394647,57377,112884,147857,292624,1795,62037,521,343729,3938,111,99,1407,47848,235,22,106,1294,2235,143,800,20073,1749
look,45,90354,28447,22788,543754,4006,47181,5889,1455,568,1262779,683597,1215,41804509,329344,1758040,75962,83967,40060,14462,75518,26515,830659,305136,7494830,97,3298235,123723,1601274,7179241,1865532,1443267,63716,1628125,23140,4661,2848,1255853,513327,296057,9864,829820,1818143,14718,18312,80080,129164,5572800,63630,176027,178056,38151
loose,0,7516,237,375,12987,5108,33,285,454,34,10725,30603,37,25532,94,1243,5883,574,337,1007,60,11511,1141,4223,26972,5,1169,33332,124721,3934,59693,7814,1498,90031,14576,474,388,14249,7015,94,545,1203,45926,501,74,289,1618,2434,2356,3680,131884,4701
loosen,0,39,5,2,567,7,0,6,0,1,192,978,1,366,15,308,155,5,7,11,5,300,76,138,308,0,0,631,717,37,32581,47,793,768,966,4,4,322,1990,4,1,40,1135,4,7,28,82,146194,17,30,1115,98
lop,0,57,2,0,22,2,0,4,2,1,35,213,3,146,12,19,57,4,5,13,3,54,48,27,435,0,2,95,480,19,1968,805,13156,419,147,9,3,80,88,2,0,34,345,15,0,1,8,74,1,10,340,33
lose,0,73952,141,298,21631,81323,103,908,223,320,16807,83202,295,127390,1200,2815,20124,169,166,3852,251,229767,1172,49585,85684,2,424,64948,356534,1516,987000,23565,2245,116744,150062,83,214,349348,22457,332,3297,3771,909124,3219,41,175,2571,10746,728,9920,83376,14588
lounge,0,2769,226,314,1397,567,16,75,23,14,19859,2825,7,11770,142,744,1520,192,84,235,9,1822,382,305,12994,1,24,1004,30180,377,994,3353,305,15367,632,14,221,688,454,28,19,116,7528,267,11,39,263,323,101,56,12358,599
luck,0,2879,501,534,12954,20870,859,2224,331,123,4167,84052,819,165487,1594,4957,7974,775,135,947,659,21749,3603,11937,290999,1,381,36664,996575,25598,41829,217814,1604,1042937,5161,739,96,173367,21794,507,156,4966,2346308,549,151,1001,1110,8122,1390,531,3440133,6568
lust,0,201,49,34,36195,211,21,31,89,8,120,4000,87,4197,190,205,549,143,8,432,28,1685,75,347,143068,0,7,2645,13886,696,908,10632,113,3663,1804,73,6,459,8579,1,5,244,9192,51,454,1342,141,210,230,54,8899,749
magic,0,12264,621,587,11434,6345,280,1298,532,297,6153,72893,930,49280,6616,13235,10969,6837,161,1808,1779,30121,1634,6480,109564,45,98,49678,230509,15757,21497,258205,2183,72339,8804,635,497,15880,7244,298,826,8271,276252,3425,90,396,1940,11929,757,9617,69006,14441
mail,0,24786,172,697,10906,558,297,1674,132,49,2115,30500,128,28429,2051,12190,10229,192,210,1534,40,9422,886,2850,86187,2,1121,105920,148961,4204,158052,16445,3245,47072,7373,219,519,19517,5452,99,92,5119,174171,366,28,172,1627,1706,283,358,56619,7933
make,5,280549,13493,1642,27568,20647,4343,6820,539,420,71840,447425,768,218401,2051,63687,32240,925,7292,32743,2032,46447,3345,196862,1354300,56,3774,162719,514875,61733,37734003,512042,56632,195123,1760843,636,11627,842124,126648,4001,3642,13422,366026,7426,1174,5419,23914,5723508,1411,194782,297743,28913
man,10,46852,8449,7290,77877,21076,2911,4042,13200,2803,21584,242691,1777,264528,12101,39341,63007,85914,2866,13508,1991,149468,90046,52710,604248,55,1086,349098,2655062,65880,577264,1337926,27402,696823,43677,2730,8590,167659,55303,1572,825,20752,1202411,2332,808,2419,20872,462509,2117,7169,1172044,77175
manage,0,6699,239,256,2160,1554,19,302,43,50,3480,13037,32,14517,133,523,2487,102,66,1151,144,6970,465,4849,18032,0,32,3991,30996,410,358029,880,346,19920,14837,28,255,1086,3481,235,67,3903,3312167,304,30,77,895,2416,19,362,46192,26914
map,0,5966,4311,1132,29401,7299,1068,3374,339,826,8761,120210,886,89276,8881,11251,40798,3571,2454,5110,669,48710,4124,13818,326766,2,229,111542,347244,19251,94412,535528,10453,159663,10294,7320,5820,91182,19795,715,281,6032,412881,4168,295,1457,3211,13697,640,2348,396752,40663
mark,0,6437,4610,1766,15596,27364,115,860,490,79,3414,113224,159,50934,1055,3402,11925,2114,944,2274,155,24230,27807,4955,134423,3,424,27376,150347,3595,348852,395640,19440,349683,9177,594,136,42310,11455,239,107,2090,76766,438,98,499,3194,105922,3184,547,58134,5692
marry,0,280,231,546,3881,746,11,58,331,10,412,7717,13,13529,318,369,5101,31,293,609,34,2134,3129,1263,23273,0,4,1705,33352,28103,14797,962,8882,2876,30361,27,9,5740,487,57,16,332,10589,483,5,7,1742,8965,35,2102,7317,4190
mash,0,381,53,24,662,564,12,105,8,7,657,3415,18,7079,999,493,753,31,28,1139,14,734,1823,260,6285,0,118,1557,12348,2199,27825,44962,198,7175,1670,76,16,11305,417,79,6,2646,8208,5792,4,19,64,58901,14,102,11543,669
match,0,10300,1164,1980,53572,198710,803,1611,753,541,5360,106773,897,204732,4747,9999,48535,908,614,103597,988,46231,4890,27428,524998,5,197,66962,359021,18171,221379,226631,5305,221523,53979,816,568,19494,20264,617,995,4815,436268,11684,158,818,4284,1048160,344,1453,672232,38256
max,0,4112,492,587,10375,1475,162,601,106,234,4739,32115,186,63160,828,3225,21169,490,205,1831,3652,11668,2355,5961,139042,0,370,26432,90629,4435,121245,269147,2127,79047,15753,127,580,681060,6079,209,634,1787,94946,520,48,282,2048,5569,137,896,57816,9933
measure,0,3340,607,1864,2991,21763,276,1132,245,71,4240,18692,109,15841,223,690,5111,206,361,3250,433,24420,1785,1499,71739,3,98,24446,57021,1695,178249,726482,1523,18627,7573,91,99,41317,2712,371,194,1185,154080,71,124,477,1201,89604,155,249,23112,2578
meet,0,6731,1170,643,11127,574,268,5871,115,57,4486,32533,79,218397,286,14918,14850,1444,154,1531,194,9879,1913,8315,89426,1,21,8282,431691,1019,61052,3877,1855,94443,100235,40,400,6822,5788,315,223,9225,53840,7499,34,203,3152,1165060,432,1514,521971,5855
mellow,0,1831,2,6,684,8,2,21,6,7,214,3443,11,1134,18,157,206,6,8,28,13,521,1612,184,4155,0,1,421,3465,291,3319,604,122,1613,839,2,20,39415,703,6,13,95,2542,58,19,102,22,137,7,468,3281,231
melt,0,811,184,110,2420,749,11,228,10,156,1610,8113,11,14357,46237,2110,6478,64,210,384,39,3092,100910,2575,7527,0,10,9594,57876,39346,69540,1714,21445,12643,2100,1630,84,4451,3269,53,17,14788,12666,5501,18,74,4581,2314,299,358,13324,1540
mess,0,28708,654,566,19608,528,121,624,132,150,552164,31613,427,42530,832,3629,11292,8000,432,2130,443,19257,4674,5999,77794,0,26,24701,156195,4934,192247,493350,3349,70044,2882,616,49,24659,8794,114,323,1491,92213,2737,69,388,3268,1160659,638,404,1768709,9306
mete,0,2,1,2,7,5,2,1,2,0,2,309,0,68,4,49,11,2,0,2,0,13,35,12,215,0,1,25,204,18,399,16,6,223,10,0,1,10728,22,0,0,2,311,3,1,1,3,24,7,4,193,9
mill,0,4457,125,240,1672,497,58,203,90,24,5356,6424,53,7125,761,1073,2028,186,100,302,16,3210,1285,671,31356,0,30,5889,36778,1902,9294,5309,1934,15867,2462,65,276,7238,2643,75,68,943,23597,116,15,124,365,1111,18,215,10172,1036
miss,0,77140,286,301,6186,4341,112,307,396,70,1942,27634,213,35497,467,3368,3327,328,113,1213,223,25522,586,14264,92858,5,106,60858,74272,1396,1044049,7335,1466,86113,85730,34,4959,947915,4281,235,457,568,23376,113,34,131,977,3481,100,2350,96362,3055
mistake,0,57211,879,201,24075,5096,66,1238,1860,58,1193,76467,703,42631,2803,2046,29448,422,212,1320,146,124915,765,6800,115706,1,26,38479,332952,2996,75581,686263,659,195244,11009,253,77,4494,10825,127,34,991,298678,180,54,328,1359,1622,436,1254,108907,6100
mix,0,5045,571,677,4162,610,195,1636,382,94,5809,51292,155,28500,892,2776,7526,216,235,192190,135,13722,8331,2259,88944,2,39,29176,311276,29433,621269,2283970,2118,49574,7353,983,173,7325,4707,202,59,3456,77638,42985,77,267,798,346013,59,529,252957,6927
mock,0,1210,20,8,274,114,6,26,8,4,196,1537,13,2105,887,188,363,72,10,13,8,493,57,239,3340,0,16,815,2939,101,30000,3707,182,2652,2789,3,39,1445,272,78,85,48,1679,90,4,45,47,57140,7,48,2112,477
model,0,3074,2184,1128,14779,1757,207,1814,648,687,7567,113214,677,48431,852,5492,20376,3057,1225,1733,617,26848,3999,8375,519347,3,306,87575,249175,13914,81729,862881,8010,85818,7273,1580,322,16128,11519,284,68,3518,271828,1751,180,797,3681,10054,789,1118,204006,19719
moggy,0,1,0,0,3,1,0,1,0,0,2,26,0,13,0,7,4,0,0,0,0,6,2,2,38,0,0,47,64,9,1,14,3,28,3,0,0,15,5,0,0,2,61,0,0,0,1,3,0,0,34,2
monkey,0,872,101,100,1201,243,6,107,77,47,5960,5785,21,6941,260,1195,1914,646,49,88,9,3509,573,638,14695,0,4,7801,39460,1983,2763,3811,13471,26314,1971,141,106,4381,1296,28,252,401,24665,312,8,57,276,1658,17,264,30339,946
mooch,0,434,6,12,111,5,1,33,2,1,958,657,0,381,89,151,128,6,1,6,2,115,37,138,1290,0,0,852,921,89,310,2890,31708,1549,103,11,2,214,128,1,97,77,1061,3,0,2,11,73,5,14,363,75
moon,0,11031,2185,424,9051,1315,164,944,191,367,3400,36513,144,29113,875,4284,11668,1897,288,782,282,32095,1768,3547,61182,0,105,22247,132085,6986,13174,37850,1232,48069,6868,451,200,7202,9407,185,305,3445,81146,12239,97,439,2381,2525,608,535,67374,7841
mop,0,259,30,74,1005,106,16,79,9,10,903,2713,40,2034,221,426,853,174,11,82,15,619,340,278,5487,1,38,1225,5024,468,8285,5858,583,5535,610,37,12,1102,790,26,6,334,6690,52,5,36,451,58917,14,55,4722,397
mope,0,5471,0,2,129,1,0,40,2,0,11180,135,2,289,63,69,39,17,0,2,0,112,13,19,1262,0,1,44,1183,48,91,38,55,544,17,2,1,50,575,1,4,87,292,89,0,2,13,48,4,7,292,35
mount,0,584,964,190,3032,938,66,408,64,79,1131,16672,81,14533,395,2098,3463,1029,249,667,49,4503,647,1404,78906,0,258,19008,40987,3419,130472,21010,3212,58325,8056,2184,101,2800,2571,80,43,1228,62092,273,55,187,1803,26744,210,201,26604,3366
mouth,0,58308,816,384,33746,3196,58,1969,612,458,26947,83664,179,60115,2299,3050,37572,1383,461,2370,178,19017,6470,5868,120761,4,143,42451,87168,8368,26750,181047,49766,111926,5024,3132,141054,31308,23479,279,527,3634,270031,791,423,1648,2626,12044,954,1370,125369,22026
move,3,61759,4550,84756,61348,40352,33019,437948,2055,4720,752621,188207,17762,314970,583485,521869,51192,9918,1813,66959,58351,291146,116374,34203,475761,810,870914,519592,1390050,573387,956350,100407,64495,6652188,77921,259984,359,1434975,276961,243608,1392,172953,4271896,17567,60975,201768,12558,774015,1259,10254,230818,54839
mow,0,282,7,53,207,28,5,58,2,0,1246,789,3,1369,108,95,335,7,14,88,1,104,56155,94,1525,0,6,203,2028,153,13261,361,70,1006,390,7,2,92,2879,40,11,7576,804,13,2,10,159,145,2,25,1239,212
muck,0,12025,7,27,179,51,3,65,9,0,18087,701,5,1052,81,75,189,61,67,38,4,278,117,50,1293,1,0,1023,3433,276,10043,4693,889,1902,61,31,0,1907,257,4,36,725,2268,86,9,16,130,20771,10,5,8711,189
muddle,0,329,4,4,16,4,7,1954,2,0,803,122,0,83,14,7,13,6,0,38,0,220,82,14,156,0,29,33,804,169,2089,2189,6,720,96,0,1,143,170,13,4,15933,237,503,0,8,4,2458,1,10,947,26
mug,0,432,71,231,1123,315,6,159,17,13,598,4332,83,6349,292,1061,1816,214,48,151,7,1107,1864,304,16288,0,12,8531,16687,1331,1455,51300,1575,13620,611,302,19,1926,1114,9,17,278,11981,69,43,114,505,2059,31,33,23405,768
mull,0,623,1,0,32,47,1,19,1,1,877,128,1,88,175,30,26,0,19,7,0,20,368,17,1797,0,1,50,389,346,15731,1588,7,1570,34,0,0,44,27617,26,5,400,5660,6,1,9,2,104,55,5,133,20
muscle,0,421,591,225,4896,930,42,2641,55,174,4904,32674,125,27866,618,4830,5324,3553,684,2020,305,9033,1680,3374,28091,0,40,15873,115715,4251,11845,11863,1970,52271,1024,616,90,5326,8273,896,39,14365,81877,243,49,155,7327,24516,96,365,21110,10877
naff,0,43,1,1,39,11,0,1,0,2,6,351,1,285,4,9,11,1,0,0,2,48,2,31,271,0,0,39,364,1,82,29,544,171,60,1,0,12,11,0,0,3,419,0,0,3,1,19,0,49,119,22
nag,0,5777,2,3,116,16,2,8,4,0,54,354,2,7211,472,162,76,7,9,3,1,130,117,108,1864,0,5,248,1095,109,348,549,70,2298,129,4,325,208,216,2,8,26,1746,4,3,11,10,65,7,19,503,52
nail,0,1721,218,817,1641,14575,9,531,27,34,399,5321,12,5488,432,1623,2225,242,113,570,29,3326,102702,943,36928,0,40,5465,252598,14853,93325,5517,5596,442606,3731,233,168,5628,4120,89,20,9897,87548,474,31,113,1406,2865,116,183,19454,1250
name,0,11031,9995,7399,69106,3701,642,12354,6017,652,22635,505646,3256,201007,3752,36401,101326,10418,3417,2985,1256,112256,35225,40408,1838655,134,3119,295817,1315892,67797,795533,5626167,79760,1193659,341029,6241,604,175852,32745,468,397,30108,1040924,4079,125,647,22735,37046,4131,2831,224905,45157
narrow,0,568,34,219,459,218,5,106,21,8,443,17150,6,6981,35,1071,349,115,47,410,24,2112,213742,772,30102,0,102,1245,30089,507,212126,7262,93,4503,6560,33,116,802,369,37,105,448,22801,21,126,413,124,529,19,9206,5617,378
nerd,0,6119,76,56,734,71,14,64,208,11,578,7757,48,6504,156,1417,1442,358,31,44,23,2050,273,709,18739,0,4,4574,38652,1014,4129,4300,901,11446,595,12,24,30885,1800,36,20,463,18216,84,7,13,104,736,6,548,21318,1089
nick,1,1828,97,54,1605,198,17,254,37,68,480,7992,43,13997,292,1504,1261,162,51,63,14,1254,495,1498,10657,1,9,9524,18935,1013,6116,27325,1576,13023,2161,27,43,2380,1126,17,25,327,17085,242,12,65,324,1105,18,136,4941,463
nip,0,145,87,301,754,252,52,100,13,29,438,2383,10,15900,358,1229,756,73,23,138,3,392,1613,489,3946,0,13,1454,15349,1695,37199,2844,1904,6755,860,57,17,3293,1546,91,286,394,8640,37,4,35,135,687,15,62,3117,328
nod,0,531,159,84,1709,519,1169,10914,30,3,92,12329,12,23957,340,5263,4217,67,8,491,10,1650,2784,611,16572,1,105,13342,29089,347,1135,27172,19928,4259,269,10,7,7324,10676,22,7,504,248566,85,2528,9927,65,3298,57,110,5435,693
nose,0,4830,1327,419,10602,5373,445,691,92,125,5147,32842,134,77783,1281,5468,9798,614,329,2592,67,9687,33889,2907,98288,1,686,20442,156273,35899,12816,55500,17823,53387,2846,1624,1545,26722,4653,220,156,3546,157843,311,386,1228,3274,68140,422,1074,72053,30420
notch,0,882,14796,315,1630,682,275,325,133,37,462,13260,69,8516,532,1144,1289,365,9100,496,141,4161,3439,1638,20726,1,155,4908,42417,1588,4195,4261,887,29985,1149,74,109,3549,1369,142,16,226,16459,51,100,312,1139,4934,18,273,9978,829
note,0,146482,6323,537,12315,1078,357,2674,434,379,1997,48281,1001,56016,1299,5846,14884,1911,5465,2628,509,19538,25707,6695,170413,1,90,222462,221056,5651,103189,622508,4415,304407,8783,707,534,8775,7222,383,85,2858,529955,379,144,655,8539,5663,454,376,106312,5307
number,0,7169,13413,2386,40285,3659,647,3468,2212,459,9405,137300,501,97528,3690,14165,33722,3438,8024,56058,1072,74720,32024,14889,570960,6,328,191584,455754,31126,61749,20373212,26809,588408,1588833,1929,364,67459,24275,812,205,9210,587004,1395,138,533,11899,36260,864,2146,92986,22503
nut,0,2605,183,189,3414,441,13,146,54,39,727,6938,31,8548,389,2111,3669,1941,185,610,33,3191,2238,988,35340,0,39,7429,61474,3772,5807,7234,10234,51105,1158,1490,218,5028,4766,56,36,677,78448,402,23,98,853,38324,78,237,15131,1957
occur,0,2671,582,2509,30865,1803,95,2232,2273,73,7591,36361,47,86722,284,453,23650,737,504,17004,593,11734,662,9355,35487,0,8,29202,348051,279,5714,986,1424,81952,1481,28,5,2081,14965,332,21,7600,321210,4499,113,505,8931,1043,1071,1023,137571,21351
offer,0,9652,4461,700,19963,1745,223,1453,203,846,6435,118051,1682,77472,4796,6500,23438,287,3304,1759,3719,23240,7425,15019,427963,127,268,153514,232859,2292,269108,189849,2800,167654,49260,152,4449,15196,18784,510,297,6261,1101641,845,136,661,2596,167223,777,6796,58666,15036
open,0,435915,1773,2664,41293,6864,472,2559,354,215,11810,148943,340,237882,1039,69222,30048,4735,918,7812,950,56078,6200,15868,1070135,38,378,71149,492400,10854,1204842,16365,1983,323476,115870,1315,4259,7671,11495,7646,923,6766,3442647,1029,1068,7581,6529,2359347,1365,9626,457025,27156
operate,0,489,2249,2198,1925,2060,32,1225,221,88,4124,82689,49,93263,322,186,1357,1682,969,2070,1164,18125,639,2280,17496,0,42,23666,270450,415,44196,592,8897,227570,9707,22,101,17350,4450,315,46,5903,11516,2225,48,223,87237,1201,812,382,79979,31754
opt,0,25,3,1,303,1115,1,10,3,2,22,802,0,374,290,2968,139,1,0,195,5,276,79,93,404859,0,0,405,139979,40287,5395,2066,94,1295,364,43,13,609724,271,4,0,37,202069,6,115,502,48,143,16,8,1396,99
order,0,9918,3730,1406,37704,57368,5913,2717,2352,423,13069,130414,758,131050,2819,11319,60853,2155,1685,5149,763,85402,6544,12413,1494969,21,134,574721,433706,10721,485154,1810936,28361,209134,174859,855,1372,28548,26477,688,399,50775,15351174,4505,139,590,7920,27315,1746,2382,153393,28374
owe,0,8045,64,16,1079,68,20,36,6,1,2000,2456,10,4883,8,4057,645,4,20,197,48,1043,124,1004,11489,0,1,1553,9349,240,210800,184,87,19217,2269,28,12,544,3362,74,1,212,26536,33,20,71,457,2068,53,625,1059,366
own,1,34928,1542,1096,51356,85343,480,2649,1301,1247,8170,189768,1320,119015,3431,54970,54331,2504,499,2261,1801,88008,5306,23927,254750,132,791,63027,360874,11348,813769,24080,6635,103173,459598,1272,5018,21549,28177,34956,1386,17116,299488,3407,246,1083,6179,286085,815,1010457,197949,152188
pace,0,1516,406,944,8588,2303,291,942,130,62,13470,42914,120,34545,661,15867,4382,1296,229,2599,218,8067,10355,4098,180139,22,348,52819,65591,2092,21866,328581,2366,35837,843,90,31,4884,7709,300,80,4796,146734,272,649,2214,922,18059,76,745,118777,11885
pack,0,4613,743,778,17620,1289,523,3396,584,416,7786,60991,309,63110,10627,8386,18439,1977,569,1682,161,16752,12058,5918,283808,5,89,79516,192645,20398,280446,1283272,8854,144782,15870,1551,1251,24463,8309,184,226,3220,143622,4444,81,445,4223,204754,329,2042,146844,10743
pad,0,840,633,552,4127,1239,58,645,32,128,2815,18110,99,17259,1034,2240,5155,1009,777,2052,27,3804,6843,1246,78007,1,204,12346,50612,4175,20721,35991,3591,76596,1325,731,338,31232,4786,57,45,803,84552,404,113,362,7710,8769,65,264,37546,3038
page,0,155013,6865,508,51037,1119,517,3220,393,319,3131,186279,369,136648,1022,8372,85511,1234,4799,1731,348,44594,20556,13688,1104807,3,871,156281,255302,9974,118259,1075547,3110,565125,33622,875,13998,73174,13721,559,46,11894,372821,2217,218,592,17392,33346,1438,1173,368548,29138
pair,0,2844,432,264,7638,1474,96,934,163,218,2232,23471,153,30065,779,3962,8144,614,302,1071,47,4846,3795,2097,152895,0,36,55988,97314,2854,157013,4308503,18813,54889,4537,148,122,6358,3512,76,63,2089,67140,6277,26,153,1649,105038,78,270,237074,4157
pal,0,574,62,68,449,39,12,144,12,5,8356,2386,12,1708,47,474,895,49,17,15,4,851,167,289,7330,0,3,2965,6588,204,2808,7708,98,2805,1540,35,18,610,585,9,10,247,13135,37,2,6,73,958,11,42,3436,218
palm,0,402,181,692,1079,2949,13,246,10,11,510,4519,6,3983,489,349,1356,209,289,325,3,856,8076,240,6248,1,754,3243,7810,1990,6301,102505,2401,15166,619,412,1880,3281,2646,18,8,514,22035,114,411,1478,654,10914,150,104,8288,601
pan,0,1298,373,3093,6934,346,89,1260,47,33,9474,15988,202,12834,3436,5652,9510,493,742,723,41,5648,6813,1001,42574,0,160,13354,45417,9028,13184,39802,5409,65219,3730,1280,116,377948,19973,462,144,1544,69396,605,126,540,4289,8894,56,439,102267,3773
paper,0,63235,2260,2164,17477,3474,293,2385,295,743,17580,64744,502,65066,4004,18498,27230,4771,1472,9109,269,40671,11331,6063,173029,5,160,85090,278267,26780,94947,32720,12001,292155,12442,2897,449,24277,38971,273,5530,4842,252957,4517,199,675,13721,11731,670,935,205346,14251
parachute,0,116,171,56,894,20,5,53,7,7,349,1783,6,2366,331,549,1114,404,38,46,1,587,4220,188,4622,0,7,2849,9944,4324,3067,1168,1462,6841,375,1375,573,4490,649,18,7,241,10443,38,9,72,217,324,54,70,2632,326
parcel,0,96,19,90,286,19,1,62,9,15,117,1198,15,1830,50,468,394,91,19,91,4,607,96,125,4216,0,140,3603,4373,402,1587,75462,461,1898,85,51,24,3137,378,1,18,363,10995,57,3,10,209,645,36,7,11149,295
pare,0,8,1,11,5,7,1,1,1,4,3,69,2,149,426,1793,6,0,0,2,0,12,14247,9,196,0,0,43,729,9,6349,1633,226,82,23,1,6,184,5,3,0,23,361,7,2,1,2,83,0,22,550,4
part,0,1496291,9036,1204,45577,5103,434,3315,588,785,12393,189319,4327,160335,5660,10353,38111,4771,5270,12690,1258,237395,35276,16282,437268,8,445,210121,2177502,19935,248390,52766276,30496,223831,108710,1272,1729,154296,18042,906,229,10667,841448,2529,1334,5939,10922,29634,1275,85064,561373,21173
partake,0,72,0,2,180,20,0,19,5,0,41,1713,5,1294,12,35,233,7,0,9,10,150,7,223,813,0,0,478,287034,273,699,25375,20,2198,66,2,0,68,26,1,1,22,754,126,2,0,26,11,76,11,1901,600
partition,0,161,36,146,1381,94,19,251,48,18,498,8185,34,2848,163,535,1470,149,44,2264,39,4905,514,330,17179,0,17,5320,12096,1695,8092,27580,1707,27857,373,478,34,1088,691,28,4,541,19857,28,3,20,380,514,59,27,10363,1569
partner,1,51262,702,505,13605,1743,540,1663,364,157,3610,53805,413,63536,2244,3622,20859,1326,107,414,391,15278,4376,8425,189115,1,38,22498,355345,13264,14169,96537,7153,43387,3400,384,490,9843,10966,170,367,8373,347777,1393,133,425,1897,44632,214,544,205385,12052
pass,1,5034,1429,6683,28893,9063,1212,97232,638,89,53837,247109,291,115746,127807,27766,54205,5430,1408,26125,3049,308144,78659,19278,543362,61,5453,163895,256131,52914,1186840,44022,132352,1198552,31728,11267,845,593161,96734,1058,1921,573902,653990,1541,353,1575,14972,421623,1316,2646,126587,54933
pat,0,786,40,46,1147,287,13,82,9,14,511,3204,37,4173,336,1254,1517,89,9,96,7,1303,46587,725,11443,0,8,5691,12480,1007,23809,13610,950,176365,949,371,13,1365,831,35,14,186,9221,104,7,42,152,283,54,152,6025,313
patch,0,4174,1294,552,28660,966,647,2228,123,177,4296,37965,268,26132,1531,3780,30079,3540,621,3223,156,11265,2137,5407,162836,3,113,25908,116461,4826,174929,230151,4009,136033,4203,1451,156,23900,12209,175,109,3425,158031,3958,65,354,2420,47587,300,571,62215,8046
pave,0,27,2,7,20,5,9,11,0,0,151,89,0,93,48,22,35,3,1,15,0,23,39,25,359,1,21,54,284,13,3414,101,7,388,119,3,7,142,6308,1,2,80,281,4,2,5,23,44,0,3341,395,12
pawn,0,77,45,113,784,1061,111,99,33,8,192,2539,6,2381,125,738,444,134,13,410,5,3081,609,293,15330,0,573,1901,41757,824,16519,22358,15137,9485,531,64,38,762,373,36,2,241,24819,16,21,48,179,1316,23,35,6415,559
pay,1,127600,16497,2379,34141,1988,4252,1518,931,110,76031,233268,539,166595,1748,384418,32470,250,6736,19131,1620,100101,158279,58876,12112474,44,4700,44640,472470,121345,1132649,74940,1689345,159872,47821,360,216,498317,89574,1247,240,72860,2042201,1117,2754,12800,13880,284522,1931,42823,300183,17908
peal,0,7,0,7,39,6,0,3,0,60,16,76,2,65,466,622,19,2,0,1,0,14,27,9,616,0,1,107,195,22,1312,1343,2474,265,54,7,22,227,26,3,0,22,136,0,0,1,10,96,0,4,101,6
peck,0,98,13,18,160,35,0,11,4,51,491,1109,1,9506,1758,146,364,9,5,64,1,87,69,51,1173,0,2,889,1872,120,1138,4896,264,24180,176,15,67,2337,67,3,4,578,1452,7,4,6,18,190,69,8,860,66
pee,0,1853,87,160,22908,881,46,256,29,13,2352,9380,24,24304,992,860,18274,1493,27,1393,12,2830,2125,2155,22856,1,172,14240,254744,16588,11145,4007,5728,220627,1477,700,20,30981,2467,59,33,4737,14293,953,26,152,1030,1661,148,741,21920,8041
peel,0,402,37,61,2030,1017,36,194,19,2588,810,4950,75,4076,15857,23273,1368,191,13,133,24,1171,1114,509,67898,2,32,8302,13277,1364,55342,6235,101919,12394,2370,246,5452,9432,2335,48,19,714,8953,63,23,94,703,4455,8,114,7965,736
peg,0,158,462,38,443,248,15,30,12,8,151,2883,3,2060,167,497,462,89,368,213,6,1694,2471,164,4966,0,21,1308,19978,12982,10969,2230,573,5223,701,107,7,1278,236,5,1083,1830,8125,78,14,37,176,406,29,25,2502,317
pen,0,1016,507,1604,5219,4781,58,863,86,1000,4805,22730,259,25788,1866,5380,7191,1036,163,2036,97,6854,5800,2660,80996,2,97,31392,93163,6645,16216,14149,3526,57656,2324,654,500,9771,5789,125,530,3917,103938,664,56,312,1491,5543,115,381,61097,4699
pencil,0,322,169,936,1152,689,9,456,20,66,1575,6396,35,6584,477,1634,2476,928,78,2021,19,2740,3292,400,19362,0,39,6992,87366,4522,4173,2496,1357,22811,1208,374,22,6142,2058,26,30,3127,34788,141,51,149,1455,3367,34,122,13372,1544
pension,0,80,54,25,4323,32,14,166,34,9,130,5344,25,7358,416,470,907,38,59,77,47,1786,141,629,16273,0,1,7324,8601,927,872,5740,180,2339,177,25,21,621,887,11,1,841,9811,24,12,38,330,278,271,31,3198,579
pep,0,305,30,7,696,80,22,27,8,16,107,2573,19,2730,66,733,475,48,6,9,3,223,91,684,4165,0,7,663,13353,272,939,483,200,1487,155,2,9,800,480,4,6,45,8076,27,4,9,89,1659,5,135,1633,178
